Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
8-Jan-1902,38.5,0,0, M
9-Jan-1902, M,0,0, M
10-Jan-1902,46.5,0,0, M
11-Jan-1902, M,0,0, M
12-Jan-1902,22.5, T,0, M
13-Jan-1902,20.5, T,0, M
14-Jan-1902,29.5,0,0, M
15-Jan-1902,35.5,0,0, M
16-Jan-1902, M,0,0, M
17-Jan-1902, M,0,0, M
18-Jan-1902, M,0,0, M
19-Jan-1902,37,0,0, M
20-Jan-1902,27,0,0, M
21-Jan-1902, M, M, M,6
22-Jan-1902, M,0,0,4
23-Jan-1902,31,0,0,3
24-Jan-1902,27.5,0,0,2
25-Jan-1902,36,0,0, M
26-Jan-1902, M,0.78, T, M
27-Jan-1902,37.5,0.16,0, M
28-Jan-1902,22,0,0, M
29-Jan-1902,21.5,0.95,5,5
30-Jan-1902,18,0.15, M,4
31-Jan-1902, M,0.09, M,4
1-Feb-1902, M,0.08,0,4
2-Feb-1902, M,0.04,0,4
3-Feb-1902, M,0,0,4
4-Feb-1902, M,0,0,4
5-Feb-1902,16,0,0,4
6-Feb-1902,26.5,0,0,4
7-Feb-1902,22.5,0,0,3
8-Feb-1902, M,0,0,3
